Time,Closed Price,Volume
2022/01/10,5.75,495256000
2022/01/11,5.86,528215000
2022/01/12,5.8,357056000
2022/01/13,5.89,271014000
2022/01/14,5.89,235531000
2022/01/17,5.85,139970000
2022/01/18,5.87,185120000
2022/01/19,5.86,138169000
2022/01/20,5.87,229041000
2022/01/21,5.9,185730000
2022/01/24,5.94,200477000
2022/01/25,5.92,291263000
2022/01/26,5.94,282696000
2022/01/27,5.95,205731000
2022/01/28,5.96,315693000
2022/01/31,5.96,202521000
2022/02/04,6.06,229901000
2022/02/07,6.16,381244000
2022/02/08,6.15,268903000
2022/02/09,6.17,324700000
2022/02/10,6.16,289277000
2022/02/11,6.18,340989000
2022/02/14,6.14,163582000
2022/02/15,5.96,389617000
2022/02/16,6,175631000
2022/02/17,6,190232000
2022/02/18,6.01,234019000
2022/02/21,6.05,175822000
2022/02/22,5.94,233616000
2022/02/23,5.94,159962000
2022/02/24,5.84,321974000
2022/02/25,5.75,270426000
2022/02/28,5.86,429154000
2022/03/01,5.86,254709000
2022/03/02,5.8,290382000
2022/03/03,5.83,187449000
2022/03/04,5.81,215607000
2022/03/07,5.69,274359000
2022/03/08,5.6,396856000
2022/03/09,5.52,436941000
2022/03/10,5.62,328950000
2022/03/11,5.62,278127000
2022/03/14,5.63,456715000
2022/03/15,5.49,566145000
2022/03/16,5.42,600865000
2022/03/17,5.64,545026000
2022/03/18,5.72,602424000
2022/03/21,5.62,303851000
2022/03/22,5.68,225610000
2022/03/23,5.64,338680000
2022/03/24,5.66,264597000
2022/03/25,5.69,314053000
2022/03/28,5.73,155562000
2022/03/29,5.75,147008000
2022/03/30,5.8,271963000
2022/03/31,5.89,307316000
2022/04/01,5.93,205166000
2022/04/04,5.95,173229000
2022/04/06,5.91,252247000
2022/04/07,5.88,174437000
